q-crq|vbz Who's
dt the
n1 land
, ,
cc And
c-crq why
d such
j daily
n1 cast
pp-f of
j brazen
n1 cannon
, ,
cc And
j foreign
n1 mart
p-acp for
n2 implements
pp-f of
n1 war
; ;
c-crq Why
d such
n1 impress
pp-f of
n2 shipwrights
, ,
r-crq whose
j sore
n1 task
vdz Does
xx not
vvi divide
dt the
np1 Sunday
pp from
dt the
n1 week
; ;
q-crq What
vmd might
vbi be
pp toward
, ,
cst that
d this
j sweaty
n1 haste
vdz Doth
vvi make
dt the
n1 night
n1 joint-labourer
pp with
dt the
n1 day
: :
q-crq Who
vbz|pn31 is't
cst that
vmb can
vvi inform
pno11 me
? ?
d That
vmb can
pns11 I
; ;
pp At
ds least
, ,
dt the
n1 whisper
vvz goes
av so
. .
po12 Our
ord last
n1 king
, ,
r-crq Whose
n1 image
av-j even
p-acp but
av now
vvd appeared
p-acp to
pno12 us
, ,
vbd Was
, ,
c-acp as
pn22 you
vvb know
, ,
p-acp by
np1 Fortinbras
pp-f of
np1 Norway
, ,
av Thereto
vvn pricked
a-acp on
p-acp by
dt a
av-ds most
vvb emulate
n1 pride
, ,
vvn Dared
p-acp to
dt the
n1 combat
; ;
p-acp in
r-crq which
po12 our
j valiant
np1 Hamlet
p-acp For
av so
d this
n1 side
pp-f of
po12 our
j-vvn known
n1 world
vvd esteemed
pno31 him
vdd Did
vvi slay
d this
np1 Fortinbras
; ;
r-crq who
, ,
p-acp by
dt a
j-vvn sealed
n1 compact
, ,
av Well
vvn ratified
p-acp by
n1 law
cc and
n1 heraldry
, ,
vdd Did
vvi forfeit
, ,
pp with
po31 his
n1 life
, ,
d all
d those
po31 his
n2 lands
r-crq Which
pns31 he
vvd stood
vvn seized
pp-f of
, ,
p-acp to
dt the
n1 conqueror
: :
pp Against
dt the
r-crq which
, ,
dt a
n1 moiety
j competent
vbd Was
vvn gaged
p-acp by
po12 our
n1 king
; ;
r-crq which
vhd had
vvn returned
p-acp To
dt the
n1 inheritance
pp-f of
np1 Fortinbras
, ,
vhd Had
pns31 he
vbn been
n1 vanquisher
; ;
c-acp as
, ,
p-acp by
dt the
d same
n1 comart
, ,
cc And
n1 carriage
pp-f of
dt the
n1 article
vvn designed
, ,
po31 His
vvd fell
p-acp to
np1 Hamlet
. .
av Now
, ,
n1 sir
, ,
j young
np1 Fortinbras
, ,
pp-f Of
j unimproved
n1 mettle
j hot
cc and
j full
, ,
vhz Hath
p-acp in
dt the
n2 skirts
pp-f of
np1 Norway
av here
cc and
a-acp there
vvd Sharked
a-acp up
dt a
n1 list
pp-f of
j lawless
n2-j resolutes
, ,
p-acp For
n1 food
cc and
n1 diet
, ,
p-acp to
d some
n1 enterprise
cst That
vhz hath
dt a
n1 stomach
p-acp|pn31 in't
; ;
r-crq which
vbz is
dx no
n-jn other
c-acp As
pn31 it
vdz doth
av well
vvi appear
pp unto
po12 our
n1 state
cc-acp But
pc-acp to
vvi recover
pp-f of
pno12 us
, ,
p-acp by
j strong
n1 hand
cc And
n2 terms
j compulsatory
, ,
d those
j-vvn foresaid
n2 lands
av So
p-acp by
po31 his
n1 father
vvd lost
: :
cc and
d this
, ,
pns11 I
vvb take
pn31 it
, ,
vbz Is
dt the
j main
n1 motive
pp-f of
po12 our
n2 preparations
, ,
dt The
n1 source
pp-f of
d this
po12 our
n1 watch
cc and
dt the
j-jn chief
n1 head
pp-f Of
d this
n1 posthaste
cc and
n1 romage
p-acp in
dt the
n1 land
. .
pns11 I
vvb think
pn31 it
vbb be
dx no
n-jn other
p-acp but
av-j e'en
av so
: :
av Well
vmb may
pn31 it
vvi sort
cst that
d this
j portentous
n1 figure
vvz Comes
vvn armed
p-acp through
po12 our
n1 watch
; ;
av so
av-j like
dt the
n1 king
cst That
vbd was
cc and
vbz is
dt the
n1 question
pp-f of
d these
n2 wars
. .
dt A
n1 mote
pn31 it
vbz is
pc-acp to
vvi trouble
dt the
ng1 mind's
n1 eye
. .
p-acp In
dt the
av-ds most
j high
cc and
j palmy
n1 state
pp-f of
np1 Rome
, ,
dt A
av-j little
p-acp ere
dt the
js mightiest
np1 Julius
vvd fell
, ,
dt The
n2 graves
vvd stood
j tenantless
cc and
dt the
j-vvn sheeted
j dead
vdd Did
vvi squeak
cc and
vvi gibber
p-acp in
dt the
jp Roman
n2 streets
: :
c-acp As
n2 stars
pp with
n2 trains
pp-f of
n1 fire
cc and
n2 dews
pp-f of
n1 blood
, ,
n2 Disasters
p-acp in
dt the
n1 sun
; ;
cc and
dt the
j moist
n1 star
p-acp Upon
r-crq whose
n1 influence
npg1 Neptune's
n1 empire
vvz stands
vbd Was
j sick
av almost
p-acp to
n1 doomsday
pp with
n1 eclipse
: :
cc And
av-j even
dt the
j like
n1 precurse
pp-f of
j-vvn feared
n2 events
, ,
p-acp As
n2 harbingers
vvg preceding
av still
dt the
n2 fates
cc And
n1 prologue
p-acp to
dt the
n1 omen
vvg coming
a-acp on
. .
vhb Have
n1 heaven
cc and
n1 earth
av together
vvn demonstrated
pp Unto
po12 our
n2 climatures
cc and
n2 countrymen
. .
cc-acp But
j soft
, ,
vvb behold
! !
uh lo
, ,
c-crq where
pn31 it
vvz comes
av again
! !
pns11|vmb I'll
vvi cross
pn31 it
, ,
c-acp though
pn31 it
vvb blast
pno11 me
. .
vvb Stay
, ,
n1 illusion
! !
cs If
pns21 thou
vh2 hast
d any
n1 sound
, ,
cc or
n1 use
pp-f of
n1 voice
, ,
vvb Speak
p-acp to
pno11 me
: :
cs If
pc-acp there
vbb be
d any
j good
n1 thing
pc-acp to
vbi be
vdn done
, ,
cst That
vmb may
p-acp to
pno21 thee
vdb do
n1 ease
cc and
n1 grace
p-acp to
pno11 me
, ,
vvb Speak
p-acp to
pno11 me
: :
cs If
pns21 thou
vb2 art
j privy
p-acp to
po21 thy
ng1 country's
n1 fate
, ,
r-crq Which
, ,
av-j happily
, ,
vvg foreknowing
vmb may
vvi avoid
, ,
uh O
, ,
vvb speak
! !
cc Or
cs if
pns21 thou
vh2 hast
vvn uphoarded
p-acp in
po21 thy
n1 life
j-vvn Extorted
n1 treasure
p-acp in
dt the
n1 womb
pp-f of
n1 earth
, ,
p-acp For
r-crq which
pns32 they
vvb say
, ,
po22 your
n2 spirits
av oft
vvb walk
p-acp in
n1 death
, ,
vvb Speak
pp-f of
pn31 it
: :
vvb stay
, ,
cc and
vvb speak
! !
vvb Stop
pn31 it
, ,
np1 Marcellus
. .
vmb Shall
pns11 I
vvi strike
pn31 it
pp with
po11 my
n1 partisan
? ?
vdb Do
, ,
cs if
pn31 it
vmb will
xx not
vvi stand
. .
pn31|vbz 'Tis
av here
! !
pn31|vbz 'Tis
av here
! !
pn31|vbz 'Tis
vvn gone
! !
pns12 We
vdb do
pn31 it
n-jn wrong
, ,
vbg being
av so
j majestical
, ,
pc-acp To
vvi offer
pn31 it
dt the
n1 show
pp-f of
n1 violence
; ;
p-acp For
pn31 it
vbz is
, ,
c-acp as
dt the
n1 air
, ,
j invulnerable
, ,
cc And
po12 our
j vain
n2 blows
j malicious
n1 mockery
. .
pn31 It
vbd was
a-acp about
pc-acp to
vvi speak
, ,
c-crq when
dt the
n1 cock
n1 crew
. .
cc And
av then
pn31 it
vvd started
av-j like
dt a
j guilty
n1 thing
p-acp Upon
dt a
j fearful
n1 summons
. .
pns11 I
vhb have
vvn heard
, ,
dt The
n1 cock
, ,
cst that
vbz is
dt the
n1 trumpet
p-acp to
dt the
n1 morn
, ,
vdz Doth
pp with
po31 his
j lofty
cc and
j shrill-sounding
n1 throat
vvb Awake
dt the
n1 god
pp-f of
n1 day
; ;
cc and
, ,
pp at
po31 his
n-vvg warning
, ,
cs Whether
p-acp in
n1 sea
cc or
n1 fire
, ,
p-acp in
n1 earth
cc or
n1 air
, ,
dt The
j extravagant
cc and
j-vvg erring
n1 spirit
vvz hies
p-acp To
po31 his
n1 confine
: :
cc and
pp-f of
dt the
n1 truth
av herein
d This
j present
n1 object
vvd made
n1 probation
. .
pn31 It
vvd faded
p-acp on
dt the
n-vvg crowing
pp-f of
dt the
n1 cock
. .
d Some
vvb say
cst that
av ever
pp 'gainst
d that
n1 season
vvz comes
c-crq Wherein
po12 our
ng1 Saviour's
n1 birth
vbz is
vvn celebrated
, ,
d This
n1 bird
pp-f of
vvg dawning
vvz singeth
d all
n1 night
av-j long
: :
cc And
av then
, ,
pns32 they
vvb say
, ,
dx no
n1 spirit
vvb dare
vvi stir
av abroad
; ;
dt The
n2 nights
vbb are
j wholesome
; ;
av then
dx no
n2 planets
vvb strike
, ,
dx No
n1 fairy
vvz takes
, ,
ccx nor
n1 witch
vhz hath
n1 power
pc-acp to
vvi charm
, ,
av So
vvn hallowed
cc and
av so
j gracious
vbz is
d that
n1 time
. .
av So
vhb have
pns11 I
vvn heard
cc and
vdb do
p-acp in
n1 part
vvi believe
pn31 it
. .
cc-acp But
, ,
vvb look
, ,
dt the
n1 morn
, ,
p-acp in
j russet
n1 mantle
vvn clad
, ,
vvz Walks
p-acp o'er
dt the
n1 dew
pp-f of
d yon
j high
av eastward
n1 hill
: :
vvb Break
pns12 we
po12 our
n1 watch
a-acp up
; ;
cc and
p-acp by
po11 my
n1 advice
, ,
vvb Let
pno12 us
vvi impart
r-crq what
pns12 we
vhb have
vvn seen
av-an to-night
pp Unto
j young
np1 Hamlet
; ;
p-acp for
, ,
p-acp upon
po11 my
n1 life
, ,
d This
n1 spirit
, ,
j dumb
p-acp to
pno12 us
, ,
vmb will
vvi speak
p-acp to
pno31 him
. .
vdb Do
pn22 you
vvi consent
pns12 we
vmb shall
vvi acquaint
pno31 him
pp with
pn31 it
, ,
p-acp As
j needful
p-acp in
po12 our
n2 loves
, ,
vvg fitting
po12 our
n1 duty
? ?
vvb|pno12 Let's
vdi|pn31 do't
, ,
pns11 I
vvb pray
; ;
cc and
pns11 I
d this
n1 morning
vvb know
c-crq Where
pns12 we
vmb shall
vvi find
pno31 him
av-ds most
j convenient
. .
c-acp Though
av yet
pp-f of
np1 Hamlet
po12 our
j-jn dear
ng1 brother's
n1 death
dt The
n1 memory
vbb be
j-jn green
, ,
cc and
cst that
pn31 it
pno12 us
vvd befitted
pc-acp To
vvi bear
po12 our
n2 hearts
p-acp in
n1 grief
cc and
po12 our
j-jn whole
n1 kingdom
pc-acp To
vbi be
vvn contracted
p-acp in
crd one
n1 brow
pp-f of
n1 woe
, ,
av Yet
av so
av-j far
vhz hath
n1 discretion
vvn fought
pp with
n1 nature
cst That
pns12 we
pp with
js wisest
n1 sorrow
vvb think
p-acp on
pno31 him
, ,
av Together
pp with
n1 remembrance
pp-f of
px12 ourselves
. .
av Therefore
po12 our
av sometime
n1 sister
, ,
av now
po12 our
n1 queen
, ,
dt The
j-jn imperial
n1 jointress
p-acp to
d this
j warlike
n1 state
, ,
vhb Have
pns12 we
, ,
c-acp as
pn31|vbd 'twere
pp with
dt a
j-vvn defeated
n1 joy
, ,
pp With
dt an
j auspicious
cc and
dt a
j-vvg dropping
n1 eye
, ,
pp With
n1 mirth
p-acp in
n1 funeral
cc and
pp with
n1 dirge
p-acp in
n1 marriage
, ,
p-acp In
j-jn equal
n1 scale
vvg weighing
n1 delight
cc and
n1 dole
, ,
vvn Taken
p-acp to
n1 wife
: :
ccx nor
vhb have
pns12 we
av herein
vvn barred
po22 Your
jc better
n2 wisdoms
, ,
r-crq which
vhb have
av-j freely
vvn gone
pp With
d this
n1 affair
a-acp along
. .
p-acp For
d all
, ,
po12 our
n2 thanks
. .
av Now
vvz follows
, ,
cst that
pn22 you
vvb know
, ,
j young
np1 Fortinbras
, ,
vvg Holding
dt a
j weak
n1 supposal
pp-f of
po12 our
n1 worth
, ,
cc Or
vvg thinking
p-acp by
po12 our
j late
j-jn dear
ng1 brother's
n1 death
po12 Our
n1 state
pc-acp to
vbi be
vvn disjoint
cc and
av out
pp-f of
n1 frame
, ,
vvn Co-leagued
pp with
d this
n1 dream
pp-f of
po31 his
n1 advantage
, ,
pns31 He
vhz hath
xx not
vvn failed
pc-acp to
vvi pester
pno12 us
pp with
n1 message
, ,
vvg Importing
dt the
n1 surrender
pp-f of
d those
n2 lands
vvn Lost
p-acp by
po31 his
n1 father
, ,
pp with
d all
n2 bands
pp-f of
n1 law
, ,
p-acp To
po12 our
av-ds most
j valiant
n1 brother
. .
av So
av-d much
p-acp for
pno31 him
. .
av Now
p-acp for
px12 ourself
cc and
p-acp for
d this
n1 time
pp-f of
n1 meeting
: :
av Thus
av-d much
dt the
n1 business
vbz is
: :
pns12 we
vhb have
av here
vvn writ
p-acp To
np1 Norway
, ,
n1 uncle
pp-f of
j young
np1 Fortinbras
, ,
r-crq Who
, ,
j impotent
cc and
j bedrid
, ,
av-j scarcely
vvz hears
pp-f Of
d this
po31 his
ng1 nephew's
n1 purpose
, ,
pc-acp to
vvi suppress
po31 His
jc further
n1 gait
av herein
; ;
p-acp in
cst that
dt the
n2 levies
, ,
dt The
n2 lists
cc and
j full
n2 proportions
, ,
vbb are
d all
vvn made
av Out
pp-f of
po31 his
n-jn subject
: :
cc and
pns12 we
av here
vvb dispatch
pn22 You
, ,
j good
np1 Cornelius
, ,
cc and
pn22 you
, ,
np1 Voltimand
, ,
p-acp For
n2 bearers
pp-f of
d this
n1 greeting
p-acp to
j old
np1 Norway
; ;
vvg Giving
p-acp to
pn22 you
av-dx no
av-jc further
j personal
n1 power
p-acp To
n1 business
pp with
dt the
n1 king
, ,
av-dc more
cs than
dt the
n1 scope
pp-f Of
d these
j-vvn delated
n2 articles
vvb allow
. .
uh-n Farewell
, ,
cc and
vvb let
po22 your
n1 haste
vvi commend
po22 your
n1 duty
. .
p-acp In
d that
cc and
d all
n2 things
vmb will
pns12 we
vvi show
po12 our
n1 duty
. .
pns12 We
vvb doubt
pn31 it
pix nothing
: :
av-j heartily
uh-n farewell
. .
cc And
av now
, ,
np1 Laertes
, ,
q-crq|vbz what's
dt the
n1 news
pp with
pn22 you
? ?
pn22 You
vvd told
pno12 us
pp-f of
d some
n1 suit
; ;
q-crq what
vbz|pn31 is't
, ,
np1 Laertes
? ?
pn22 You
vmbx cannot
vvi speak
pp-f of
n1 reason
p-acp to
dt the
np1 Dane
, ,
cc And
vvb lose
po22 your
n1 voice
: :
q-crq what
vmd2 wouldst
pns21 thou
vvi beg
, ,
np1 Laertes
, ,
cst That
vmb shall
xx not
vbi be
po11 my
n1 offer
, ,
xx not
po21 thy
n-vvg asking
? ?
dt The
n1 head
vbz is
xx not
av-dc more
j-jn native
p-acp to
dt the
n1 heart
, ,
dt The
n1 hand
av-dc more
j instrumental
p-acp to
dt the
n1 mouth
, ,
cs Than
vbz is
dt the
n1 throne
pp-f of
np1 Denmark
p-acp to
po21 thy
n1 father
. .
q-crq What
vmd2 wouldst
pns21 thou
vhi have
, ,
np1 Laertes
? ?
po11 My
n1 dread
n1 lord
, ,
po22 Your
n1 leave
cc and
n1 favour
pc-acp to
vvi return
p-acp to
np1 France
; ;
pp From
c-crq whence
c-acp though
av-vvg willingly
pns11 I
vvd came
p-acp to
np1 Denmark
, ,
pc-acp To
vvi show
po11 my
n1 duty
p-acp in
po22 your
n1 coronation
, ,
av Yet
av now
, ,
pns11 I
vmb must
vvi confess
, ,
d that
n1 duty
vdn done
, ,
po11 My
n2 thoughts
cc and
n2 wishes
vvb bend
av again
pp toward
np1 France
cc And
vvb bow
pno32 them
p-acp to
po22 your
j gracious
n1 leave
cc and
n1 pardon
. .
vhb Have
pn22 you
po22 your
ng1 father's
n1 leave
? ?
q-crq What
vvz says
np1 Polonius
? ?
vhz Hath
, ,
po11 my
n1 lord
, ,
vvn wrung
pp from
pno11 me
po11 my
j slow
n1 leave
p-acp By
j laboursome
n1 petition
, ,
cc and
pp at
ord last
p-acp Upon
png31 his
vmb will
pns11 I
vvd sealed
po11 my
j hard
n1 consent
: :
pns11 I
vdb do
vvi beseech
pn22 you
, ,
vvb give
pno31 him
n1 leave
pc-acp to
vvi go
. .
vvb Take
po21 thy
j fair
n1 hour
, ,
np1 Laertes
; ;
n1 time
vbb be
po21 thine
, ,
cc And
po21 thy
js best
n2 graces
vvb spend
pn31 it
pp at
po21 thy
n1 will
! !
cc-acp But
av now
, ,
po11 my
n1 cousin
np1 Hamlet
, ,
cc and
po11 my
n1 son
, ,
dt A
av-j little
dc more
cs than
n1 kin
, ,
cc and
dc less
cs than
j kind
. .
q-crq How
vbz is
pn31 it
cst that
dt the
n2 clouds
av still
vvb hang
a-acp on
pn22 you
? ?
xx Not
av so
, ,
po11 my
n1 lord
; ;
pns11 I
vbm am
av too
d much
p-acp in
dt the
n1 sun
. .
j Good
np1 Hamlet
, ,
vvb cast
po21 thy
j-vvn nighted
n1 colour
a-acp off
, ,
cc And
vvb let
po21 thine
n1 eye
vvi look
av-j like
dt a
n1 friend
p-acp on
np1 Denmark
. .
vdb Do
xx not
p-acp for
av ever
pp with
po21 thy
j-vvn vailed
n2 lids
vvb Seek
p-acp for
po21 thy
j noble
n1 father
p-acp in
dt the
n1 dust
: :
pns21 Thou
vv2 know'st
pn31|vbz 'tis
j common
; ;
d all
cst that
vvz lives
vmb must
vvi die
, ,
vvg Passing
p-acp through
n1 nature
p-acp to
n1 eternity
. .
uh Ay
, ,
n1 madam
, ,
pn31 it
vbz is
j common
. .
cs If
pn31 it
vbb be
, ,
q-crq Why
vvz seems
pn31 it
av so
j particular
pp with
pno21 thee
? ?
vvz Seems
, ,
n1 madam
! !
uh nay
, ,
pn31 it
vbz is
; ;
pns11 I
vvb know
xx not
“ “
vvz seems
. .
” ”
pn31|vbz 'Tis
xx not
av-j alone
po11 my
j inky
n1 cloak
, ,
j good
n1 mother
, ,
ccx Nor
j customary
n2 suits
pp-f of
j solemn
j-jn black
, ,
ccx Nor
j windy
n1 suspiration
pp-f of
j-vvn forced
n1 breath
, ,
uh-dx No
, ,
ccx nor
dt the
j fruitful
n1 river
p-acp in
dt the
n1 eye
, ,
ccx Nor
dt the
j-vvn dejected
“ “
n1 haviour
pp-f of
dt the
n1 visage
, ,
av Together
pp with
d all
n2 forms
, ,
n2 moods
, ,
n2 shapes
pp-f of
n1 grief
, ,
cst That
vmb can
vvi denote
pno11 me
av-j truly
: :
d these
av indeed
vvb seem
, ,
c-acp For
pns32 they
vbb are
n2 actions
cst that
dt a
n1 man
vmd might
vvi play
: :
cc-acp But
pns11 I
vhb have
d that
p-acp within
r-crq which
vvz passes
n1 show
; ;
d These
p-acp but
dt the
n2 trappings
cc and
dt the
n2 suits
pp-f of
n1 woe
. .
pn31|vbz 'Tis
j sweet
cc and
j commendable
p-acp in
po22 your
n1 nature
, ,
np1 Hamlet
, ,
pc-acp To
vvi give
d these
j-vvg mourning
n2 duties
p-acp to
po22 your
n1 father
: :
cc-acp But
, ,
pn22 you
vmb must
vvi know
, ,
po22 your
n1 father
vvd lost
dt a
n1 father
; ;
d That
n1 father
vvd lost
, ,
vvd lost
png31 his
, ,
cc and
dt the
n1 survivor
vvn bound
p-acp In
j filial
n1 obligation
p-acp for
d some
n1 term
pc-acp To
vdi do
j obsequious
n1 sorrow
: :
cc-acp but
pc-acp to
vvi persever
p-acp In
j obstinate
n1 condolement
vbz is
dt a
n1 course
pp-f Of
j impious
n1 stubbornness
; ;
pn31|vbz 'tis
j unmanly
n1 grief
; ;
pn31 It
vvz shows
dt a
n1 will
av-ds most
j incorrect
p-acp to
n1 heaven
, ,
dt A
n1 heart
j unfortified
, ,
cc or
n1 mind
j impatient
, ,
dt An
n1 understanding
j simple
cc and
j unschooled
: :
p-acp For
r-crq what
pns12 we
vvb know
vmb must
vbi be
cc and
vbz is
a-acp as
j common
c-acp As
d any
dt the
av-ds most
j vulgar
n1 thing
pc-acp to
n1 sense
, ,
q-crq Why
vmd should
pns12 we
p-acp in
po12 our
j peevish
n1 opposition
vvb Take
pn31 it
p-acp to
n1 heart
? ?
uh Fie
! !
pn31|vbz 'tis
dt a
n1 fault
p-acp to
n1 heaven
, ,
dt A
n1 fault
pp against
dt the
j dead
, ,
dt a
n1 fault
p-acp to
n1 nature
, ,
pc-acp To
n1 reason
ds most
j absurd
; ;
r-crq whose
j common
n1 theme
vbz Is
n1 death
pp-f of
n2 fathers
, ,
cc and
r-crq who
av still
vhz hath
vvn cried
, ,
pp From
dt the
ord first
n1 corse
c-acp till
pns31 he
cst that
vvd died
av-an to-day
, ,
“ “
d This
vmb must
vbi be
av so
. .
” ”
pns12 We
vvb pray
pn22 you
, ,
vvb throw
p-acp to
n1 earth
d This
j unprevailing
n1 woe
, ,
cc and
vvb think
pp-f of
pno12 us
p-acp As
pp-f of
dt a
n1 father
: :
p-acp for
vvb let
dt the
n1 world
vvi take
n1 note
, ,
pn22 You
vbb are
dt the
av-ds most
j immediate
p-acp to
po12 our
n1 throne
; ;
cc And
pp with
dx no
dc less
n1 nobility
pp-f of
n1 love
cs Than
d that
r-crq which
js-jn dearest
n1 father
vvz bears
po31 his
n1 son
, ,
vdb Do
pns11 I
vvi impart
pp toward
pn22 you
. .
p-acp For
po22 your
n1 intent
p-acp In
vvg going
